codigo;estado;uf;data_cadastro;ativo;cod_empresa;cod_usuario
14;Ceará;CE;2012-10-22 11:35:16;1;0;0
1;Rio Grande do Sul;RS;2012-10-22 11:35:16;1;0;0
15;Distrito Federal;DF;2012-10-22 11:35:16;1;0;0
2;São Paulo;SP;2012-10-22 11:35:16;1;0;0
16;Goiás;GO;2012-10-22 11:35:16;1;0;0
3;Rio de Janeiro;RJ;2012-10-22 11:35:16;1;0;0
17;Espírito Santo;ES;2012-10-22 11:35:16;1;0;0
4;Santa Catarina;SC;2012-10-22 11:35:16;1;0;0
18;Maranhão;MA;2012-10-22 11:35:16;1;0;0
19;Mato Grosso;MT;2012-10-22 11:35:16;1;0;0
5;Tocantins;TO;2012-10-22 11:35:16;1;0;0
20;Mato Grosso do Sul;MS;2012-10-22 11:35:16;1;0;0
6;Sergipe;SE;2012-10-22 11:35:16;1;0;0
8;Paraná;PR;2012-10-22 11:35:16;1;0;0
22;Pará;PA;2012-10-22 11:35:16;1;0;0
7;Minas Gerais;MG;2012-10-22 11:35:16;1;0;0
21;Rio Grande do Norte;RN;2012-10-22 11:35:16;1;0;0
9;Acre;AC;2012-10-22 11:35:16;1;0;0
23;Paraiba;PB;2012-10-22 11:35:16;1;0;0
10;Alagoas;AL;2012-10-22 11:35:16;1;0;0
24;Rorâima;RR;2012-10-22 11:35:16;1;0;0
11;Amapá;AP;2012-10-22 11:35:16;1;0;0
25;Pernambuco;PE;2012-10-22 11:35:16;1;0;0
12;Amazonas;AM;2012-10-22 11:35:16;1;0;0
26;Piauí;PI;2012-10-22 11:35:16;1;0;0
13;Bahia;BA;2012-10-22 11:35:16;1;0;0
27;Rondônia;RO;2012-10-22 11:35:16;1;0;0
