codigo;descricao;data_cadastro;ativo;cod_empresa;migracao;migracao2;migracao3
100048837;Prolixo;2021-02-02 17:28:34;1;92577;;;
100041303;Insatisfeito com o Processo;2020-06-29 12:03:11;1;92577;;;
100041302;Malicioso;2020-06-29 12:01:25;1;92577;;;
100040672;Simples;2020-06-10 11:20:03;1;92577;;;
100040203;Neutro;2020-05-26 16:55:08;1;92577;;;
100040202;Apressado;2020-05-26 16:46:01;1;92577;;;
100040201;Negociador de Preços;2020-05-26 16:44:35;1;92577;;;
100040200;Presunçoso / Se Acha Importante;2020-05-26 16:43:58;1;92577;;;
100040199;Grosseiro / Nervoso;2020-05-26 16:43:24;1;92577;;;
100040198;Desconfiado / Curioso;2020-05-26 16:43:07;1;92577;;;
100040197;Exigente / Bem-Informado;2020-05-26 16:42:46;1;92577;;;
100040196;Comunicativo / Bem-Humorado;2020-05-26 16:42:13;1;92577;;;
100040195;Tímido / Calado;2020-05-26 16:41:45;1;92577;;;
100040194;Confuso / Indeciso;2020-05-26 16:41:14;1;92577;;;
100040193;Fidelizado;2020-05-26 16:40:47;1;92577;;;
66313;FGTS 1999;2013-12-05 15:02:56;2;92577;;;
64650;FGTS;2013-11-12 09:15:15;2;92577;;;
